INFO | 2016-10-24 23:10:09,325 | index | root | Location = root
INFO | 2016-10-24 23:56:06,131 | index | root | Home Page
INFO | 2016-10-24 23:56:32,127 | index | root | Home Page
INFO | 2016-10-24 23:56:37,781 | index | root | Home Page
INFO | 2016-10-24 23:56:53,834 | index | root | Home Page
INFO | 2016-10-24 23:57:00,023 | index | artists | Artist Selection
INFO | 2016-10-24 23:58:51,764 | index | root | Home Page
INFO | 2016-10-24 23:58:55,290 | index | artists | Artist Selection
INFO | 2016-10-24 23:59:01,969 | index | albums | Album Selection
INFO | 2016-10-24 23:59:09,224 | index | singles | Single Selection
INFO | 2016-10-24 23:59:19,391 | index | artists | Artist Selection
INFO | 2016-10-24 23:59:22,206 | index | artist | Artist page/artists/biffy_clyro/
INFO | 2016-10-25 00:03:26,413 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:03:29,861 | index | blacksky | Album page - /artists/biffy_clyro/blackened_sky
INFO | 2016-10-25 00:03:37,842 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:03:40,495 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:04:22,076 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:04:29,343 | index | stars | Single page - /artists/biffy_clyro/puzzle/folding_stars
INFO | 2016-10-25 00:07:05,830 | index | root | Home Page - /
INFO | 2016-10-25 00:07:08,787 | index | artists | Artist Selection - /artists/
INFO | 2016-10-25 00:07:56,647 | index | artists | Artist Selection - /artists/
INFO | 2016-10-25 00:12:50,710 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:12:51,378 | index | artist | Artist page - /artists/biffy_clyro/
INFO | 2016-10-25 00:12:54,414 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:14:52,503 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:16:53,821 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:17:59,983 | index | root | Home Page - /
INFO | 2016-10-25 00:18:05,812 | index | artists | Artist Selection - /artists/
INFO | 2016-10-25 00:24:56,817 | index | root | Home Page - /
INFO | 2016-10-25 00:32:24,493 | index | root | Home Page - /
INFO | 2016-10-25 00:32:27,073 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:32:29,657 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:33:07,462 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:33:13,264 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:35:46,140 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:35:50,029 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:37:02,477 | index | puzzle | Album page - /artists/biffy_clyro/puzzle
INFO | 2016-10-25 00:37:06,616 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:37:12,197 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:39:06,544 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:39:09,862 | index | albums | Album Selection - /albums/
INFO | 2016-10-25 00:39:11,783 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:39:49,520 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:40:45,443 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
INFO | 2016-10-25 00:43:11,508 | index | singles | Single Selection - /singles/
INFO | 2016-10-25 00:43:15,733 | index | saturday | Single page - /artists/biffy_clyro/puzzle/saturday_superhouse
ERROR | 2016-10-25 00:45:33,193 | index | page_not_found | 404: Not Found
